Date;Sunrise;Sunset;Daylength
01.01.2021;08:08;16:44;8h 35m 17s
02.01.2021;08:08;16:45;8h 36m 21s
03.01.2021;08:08;16:46;8h 37m 28s
04.01.2021;08:08;16:47;8h 38m 40s
05.01.2021;08:08;16:48;8h 39m 57s
06.01.2021;08:08;16:49;8h 41m 19s
07.01.2021;08:07;16:50;8h 42m 45s
08.01.2021;08:07;16:51;8h 44m 16s
09.01.2021;08:07;16:52;8h 45m 52s
10.01.2021;08:06;16:54;8h 47m 30s
11.01.2021;08:06;16:55;8h 49m 15s
12.01.2021;08:05;16:56;8h 51m 2s
13.01.2021;08:05;16:57;8h 52m 55s
14.01.2021;08:04;16:59;8h 54m 50s
15.01.2021;08:03;17:00;8h 56m 50s
16.01.2021;08:03;17:02;8h 58m 53s
17.01.2021;08:02;17:03;9h 1m 0s
18.01.2021;08:01;17:04;9h 3m 11s
19.01.2021;08:00;17:06;9h 5m 25s
20.01.2021;07:59;17:07;9h 7m 42s
21.01.2021;07:59;17:09;9h 10m 3s
22.01.2021;07:58;17:10;9h 12m 26s
23.01.2021;07:57;17:12;9h 14m 53s
24.01.2021;07:56;17:13;9h 17m 23s
25.01.2021;07:55;17:15;9h 19m 54s
26.01.2021;07:54;17:16;9h 22m 29s
27.01.2021;07:52;17:18;9h 25m 7s
28.01.2021;07:51;17:19;9h 27m 47s
29.01.2021;07:50;17:21;9h 30m 29s
30.01.2021;07:49;17:22;9h 33m 15s
31.01.2021;07:48;17:24;9h 36m 2s
01.02.2021;07:46;17:25;9h 38m 51s
02.02.2021;07:45;17:27;9h 41m 42s
03.02.2021;07:44;17:28;9h 44m 36s
04.02.2021;07:42;17:30;9h 47m 31s
05.02.2021;07:41;17:31;9h 50m 28s
06.02.2021;07:39:57;17:33:24;9h 53m 27s
07.02.2021;07:38:30;17:34:57;9h 56m 27s
08.02.2021;07:37:01;17:36:30;9h 59m 29s
09.02.2021;07:35:31;17:38:03;10h 2m 32s
10.02.2021;07:33:59;17:39:36;10h 5m 37s
11.02.2021;07:32:26;17:41:09;10h 8m 43s
12.02.2021;07:30:51;17:42:42;10h 11m 51s
13.02.2021;07:29:15;17:44:15;10h 15m 0s
14.02.2021;07:27:38;17:45:47;10h 18m 9s
15.02.2021;07:25:59;17:47:19;10h 21m 20s
16.02.2021;07:24:19;17:48:51;10h 24m 32s
17.02.2021;07:22:38;17:50:23;10h 27m 45s
18.02.2021;07:20:56;17:51:55;10h 30m 59s
19.02.2021;07:19:12;17:53:27;10h 34m 15s
20.02.2021;07:17:28;17:54:58;10h 37m 30s
21.02.2021;07:15:43;17:56:29;10h 40m 46s
22.02.2021;07:13:56;17:57:59;10h 44m 3s
23.02.2021;07:12:09;17:59:30;10h 47m 21s
24.02.2021;07:10:20;18:01:00;10h 50m 40s
25.02.2021;07:08:31;18:02:30;10h 53m 59s
26.02.2021;07:06:41;18:04:00;10h 57m 19s
27.02.2021;07:04:50;18:05:29;11h 0m 39s
28.02.2021;07:02:59;18:06:58;11h 3m 59s
01.03.2021;07:01:06;18:08:27;11h 7m 21s
02.03.2021;06:59:13;18:09:55;11h 10m 42s
03.03.2021;06:57:19;18:11:24;11h 14m 5s
04.03.2021;06:55:25;18:12:52;11h 17m 27s
05.03.2021;06:53:30;18:14:19;11h 20m 49s
06.03.2021;06:51:34;18:15:47;11h 24m 13s
07.03.2021;06:49:38;18:17:14;11h 27m 36s
08.03.2021;06:47:42;18:18:41;11h 30m 59s
09.03.2021;06:45:45;18:20:08;11h 34m 23s
10.03.2021;06:43:47;18:21:34;11h 37m 47s
11.03.2021;06:41:49;18:23:00;11h 41m 11s
12.03.2021;06:39:51;18:24:26;11h 44m 35s
13.03.2021;06:37:53;18:25:52;11h 47m 59s
14.03.2021;06:35:54;18:27:17;11h 51m 23s
15.03.2021;06:33:55;18:28:43;11h 54m 48s
16.03.2021;06:31:55;18:30:08;11h 58m 13s
17.03.2021;06:29:56;18:31:33;12h 1m 37s
18.03.2021;06:27:56;18:32:58;12h 5m 2s
19.03.2021;06:25:56;18:34:22;12h 8m 26s
20.03.2021;06:23:56;18:35:47;12h 11m 51s
21.03.2021;06:21:56;18:37:11;12h 15m 15s
22.03.2021;06:19:56;18:38:35;12h 18m 39s
23.03.2021;06:17:56;18:39:59;12h 22m 3s
24.03.2021;06:15:56;18:41:23;12h 25m 27s
25.03.2021;06:13:56;18:42:47;12h 28m 51s
26.03.2021;06:11:56;18:44:11;12h 32m 15s
27.03.2021;06:09:56;18:45:35;12h 35m 39s
28.03.2021;07:08:01;19:46:55;12h 38m 54s
29.03.2021;07:06:01;19:48:18;12h 42m 17s
30.03.2021;07:04:02;19:49:42;12h 45m 40s
31.03.2021;07:02:03;19:51:05;12h 49m 2s
01.04.2021;07:00:04;19:52:28;12h 52m 24s
02.04.2021;06:58:05;19:53:52;12h 55m 47s
03.04.2021;06:56:07;19:55:15;12h 59m 8s
04.04.2021;06:54:09;19:56:38;13h 2m 29s
05.04.2021;06:52:12;19:58:02;13h 5m 50s
06.04.2021;06:50:14;19:59:25;13h 9m 11s
07.04.2021;06:48:18;20:00:48;13h 12m 30s
08.04.2021;06:46:22;20:02:11;13h 15m 49s
09.04.2021;06:44:26;20:03:34;13h 19m 8s
10.04.2021;06:42:31;20:04:57;13h 22m 26s
11.04.2021;06:40:36;20:06:21;13h 25m 45s
12.04.2021;06:38:42;20:07:44;13h 29m 2s
13.04.2021;06:36:49;20:09:07;13h 32m 18s
14.04.2021;06:34:56;20:10:30;13h 35m 34s
15.04.2021;06:33:05;20:11:53;13h 38m 48s
16.04.2021;06:31:13;20:13:16;13h 42m 3s
17.04.2021;06:29:23;20:14:39;13h 45m 16s
18.04.2021;06:27:34;20:16:02;13h 48m 28s
19.04.2021;06:25:45;20:17:25;13h 51m 40s
20.04.2021;06:23:57;20:18:48;13h 54m 51s
21.04.2021;06:22:10;20:20:11;13h 58m 1s
22.04.2021;06:20:24;20:21:34;14h 1m 10s
23.04.2021;06:18:40;20:22:56;14h 4m 16s
24.04.2021;06:16:56;20:24:19;14h 7m 23s
25.04.2021;06:15:13;20:25:42;14h 10m 29s
26.04.2021;06:13:31;20:27:04;14h 13m 33s
27.04.2021;06:11:51;20:28:26;14h 16m 35s
28.04.2021;06:10:11;20:29:48;14h 19m 37s
29.04.2021;06:08:33;20:31:10;14h 22m 37s
30.04.2021;06:06:57;20:32:32;14h 25m 35s
01.05.2021;06:05:21;20:33:53;14h 28m 32s
02.05.2021;06:03:47;20:35:15;14h 31m 28s
03.05.2021;06:02:14;20:36:36;14h 34m 22s
04.05.2021;06:00:43;20:37:56;14h 37m 13s
05.05.2021;05:59:13;20:39:16;14h 40m 3s
06.05.2021;05:57:44;20:40:36;14h 42m 52s
07.05.2021;05:56:17;20:41:56;14h 45m 39s
08.05.2021;05:54:52;20:43:15;14h 48m 23s
09.05.2021;05:53:28;20:44:34;14h 51m 6s
10.05.2021;05:52:06;20:45:52;14h 53m 46s
11.05.2021;05:50:46;20:47:09;14h 56m 23s
12.05.2021;05:49:27;20:48:26;14h 58m 59s
13.05.2021;05:48:10;20:49:42;15h 1m 32s
14.05.2021;05:46:55;20:50:58;15h 4m 3s
15.05.2021;05:45:42;20:52:13;15h 6m 31s
16.05.2021;05:44:31;20:53:27;15h 8m 56s
17.05.2021;05:43:22;20:54:40;15h 11m 18s
18.05.2021;05:42:14;20:55:53;15h 13m 39s
19.05.2021;05:41:09;20:57:04;15h 15m 55s
20.05.2021;05:40:06;20:58:15;15h 18m 9s
21.05.2021;05:39:04;20:59:24;15h 20m 20s
22.05.2021;05:38:05;21:00:33;15h 22m 28s
23.05.2021;05:37:08;21:01:40;15h 24m 32s
24.05.2021;05:36:13;21:02:47;15h 26m 34s
25.05.2021;05:35:21;21:03:52;15h 28m 31s
26.05.2021;05:34:31;21:04:55;15h 30m 24s
27.05.2021;05:33:43;21:05:58;15h 32m 15s
28.05.2021;05:32:57;21:06:59;15h 34m 2s
29.05.2021;05:32:13;21:07:58;15h 35m 45s
30.05.2021;05:31:32;21:08:56;15h 37m 24s
31.05.2021;05:30:54;21:09:53;15h 38m 59s
01.06.2021;05:30:17;21:10:47;15h 40m 30s
02.06.2021;05:29:44;21:11:41;15h 41m 57s
03.06.2021;05:29:12;21:12:32;15h 43m 20s
04.06.2021;05:28:43;21:13:22;15h 44m 39s
05.06.2021;05:28:17;21:14:10;15h 45m 53s
06.06.2021;05:27:53;21:14:55;15h 47m 2s
07.06.2021;05:27:32;21:15:39;15h 48m 7s
08.06.2021;05:27:13;21:16:22;15h 49m 9s
09.06.2021;05:26:57;21:17:02;15h 50m 5s
10.06.2021;05:26:43;21:17:39;15h 50m 56s
11.06.2021;05:26:31;21:18:15;15h 51m 44s
12.06.2021;05:26:23;21:18:49;15h 52m 26s
13.06.2021;05:26:17;21:19:20;15h 53m 3s
14.06.2021;05:26:13;21:19:49;15h 53m 36s
15.06.2021;05:26:12;21:20:16;15h 54m 4s
16.06.2021;05:26:13;21:20:41;15h 54m 28s
17.06.2021;05:26:17;21:21:03;15h 54m 46s
18.06.2021;05:26:23;21:21:23;15h 55m 0s
19.06.2021;05:26:32;21:21:40;15h 55m 8s
20.06.2021;05:26:43;21:21:55;15h 55m 12s
21.06.2021;05:26:57;21:22:07;15h 55m 10s
22.06.2021;05:27:13;21:22:17;15h 55m 4s
23.06.2021;05:27:32;21:22:25;15h 54m 53s
24.06.2021;05:27:52;21:22:30;15h 54m 38s
25.06.2021;05:28:16;21:22:32;15h 54m 16s
26.06.2021;05:28:41;21:22:32;15h 53m 51s
27.06.2021;05:29:09;21:22:29;15h 53m 20s
28.06.2021;05:29:38;21:22:24;15h 52m 46s
29.06.2021;05:30:10;21:22:16;15h 52m 6s
30.06.2021;05:30:44;21:22:05;15h 51m 21s
01.07.2021;05:31:20;21:21:52;15h 50m 32s
02.07.2021;05:31:59;21:21:36;15h 49m 37s
03.07.2021;05:32:39;21:21:18;15h 48m 39s
04.07.2021;05:33:21;21:20:57;15h 47m 36s
05.07.2021;05:34:05;21:20:34;15h 46m 29s
06.07.2021;05:34:51;21:20:08;15h 45m 17s
07.07.2021;05:35:38;21:19:39;15h 44m 1s
08.07.2021;05:36:27;21:19:08;15h 42m 41s
09.07.2021;05:37:18;21:18:35;15h 41m 17s
10.07.2021;05:38:11;21:17:59;15h 39m 48s
11.07.2021;05:39:05;21:17:21;15h 38m 16s
12.07.2021;05:40:00;21:16:40;15h 36m 40s
13.07.2021;05:40:58;21:15:57;15h 34m 59s
14.07.2021;05:41:56;21:15:11;15h 33m 15s
15.07.2021;05:42:56;21:14:23;15h 31m 27s
16.07.2021;05:43:57;21:13:33;15h 29m 36s
17.07.2021;05:44:59;21:12:40;15h 27m 41s
18.07.2021;05:46:03;21:11:46;15h 25m 43s
19.07.2021;05:47:07;21:10:49;15h 23m 42s
20.07.2021;05:48:13;21:09:49;15h 21m 36s
21.07.2021;05:49:19;21:08:48;15h 19m 29s
22.07.2021;05:50:27;21:07:45;15h 17m 18s
23.07.2021;05:51:35;21:06:39;15h 15m 4s
24.07.2021;05:52:45;21:05:32;15h 12m 47s
25.07.2021;05:53:55;21:04:22;15h 10m 27s
26.07.2021;05:55:06;21:03:11;15h 8m 5s
27.07.2021;05:56:18;21:01:57;15h 5m 39s
28.07.2021;05:57:30;21:00:42;15h 3m 12s
29.07.2021;05:58:43;20:59:25;15h 0m 42s
30.07.2021;05:59:57;20:58:06;14h 58m 9s
31.07.2021;06:01:11;20:56:45;14h 55m 34s
01.08.2021;06:02:25;20:55:23;14h 52m 58s
02.08.2021;06:03:40;20:53:59;14h 50m 19s
03.08.2021;06:04:56;20:52:33;14h 47m 37s
04.08.2021;06:06:12;20:51:06;14h 44m 54s
05.08.2021;06:07:28;20:49:37;14h 42m 9s
06.08.2021;06:08:45;20:48:07;14h 39m 22s
07.08.2021;06:10:02;20:46:35;14h 36m 33s
08.08.2021;06:11:19;20:45:01;14h 33m 42s
09.08.2021;06:12:36;20:43:27;14h 30m 51s
10.08.2021;06:13:54;20:41:51;14h 27m 57s
11.08.2021;06:15:12;20:40:13;14h 25m 1s
12.08.2021;06:16:30;20:38:34;14h 22m 4s
13.08.2021;06:17:48;20:36:54;14h 19m 6s
14.08.2021;06:19:06;20:35:13;14h 16m 7s
15.08.2021;06:20:24;20:33:31;14h 13m 7s
16.08.2021;06:21:43;20:31:47;14h 10m 4s
17.08.2021;06:23:01;20:30:03;14h 7m 2s
18.08.2021;06:24:20;20:28:17;14h 3m 57s
19.08.2021;06:25:38;20:26:31;14h 0m 53s
20.08.2021;06:26:57;20:24:43;13h 57m 46s
21.08.2021;06:28:16;20:22:54;13h 54m 38s
22.08.2021;06:29:35;20:21:05;13h 51m 30s
23.08.2021;06:30:53;20:19:14;13h 48m 21s
24.08.2021;06:32:12;20:17:23;13h 45m 11s
25.08.2021;06:33:31;20:15:31;13h 42m 0s
26.08.2021;06:34:49;20:13:38;13h 38m 49s
27.08.2021;06:36:08;20:11:45;13h 35m 37s
28.08.2021;06:37:27;20:09:50;13h 32m 23s
29.08.2021;06:38:45;20:07:55;13h 29m 10s
30.08.2021;06:40:04;20:06:00;13h 25m 56s
31.08.2021;06:41:22;20:04:03;13h 22m 41s
01.09.2021;06:42:41;20:02:07;13h 19m 26s
02.09.2021;06:44:00;20:00:09;13h 16m 9s
03.09.2021;06:45:18;19:58:11;13h 12m 53s
04.09.2021;06:46:37;19:56:13;13h 9m 36s
05.09.2021;06:47:55;19:54:14;13h 6m 19s
06.09.2021;06:49:14;19:52:15;13h 3m 1s
07.09.2021;06:50:32;19:50:15;12h 59m 43s
08.09.2021;06:51:51;19:48:15;12h 56m 24s
09.09.2021;06:53:09;19:46:15;12h 53m 6s
10.09.2021;06:54:28;19:44:14;12h 49m 46s
11.09.2021;06:55:46;19:42:13;12h 46m 27s
12.09.2021;06:57:05;19:40:12;12h 43m 7s
13.09.2021;06:58:24;19:38:11;12h 39m 47s
14.09.2021;06:59:42;19:36:10;12h 36m 28s
15.09.2021;07:01:01;19:34:08;12h 33m 7s
16.09.2021;07:02:20;19:32:06;12h 29m 46s
17.09.2021;07:03:39;19:30:04;12h 26m 25s
18.09.2021;07:04:58;19:28:02;12h 23m 4s
19.09.2021;07:06:17;19:26:01;12h 19m 44s
20.09.2021;07:07:36;19:23:59;12h 16m 23s
21.09.2021;07:08:56;19:21:57;12h 13m 1s
22.09.2021;07:10:15;19:19:55;12h 9m 40s
23.09.2021;07:11:35;19:17:53;12h 6m 18s
24.09.2021;07:12:55;19:15:52;12h 2m 57s
25.09.2021;07:14:15;19:13:50;11h 59m 35s
26.09.2021;07:15:35;19:11:49;11h 56m 14s
27.09.2021;07:16:55;19:09:48;11h 52m 53s
28.09.2021;07:18:16;19:07:47;11h 49m 31s
29.09.2021;07:19:37;19:05:47;11h 46m 10s
30.09.2021;07:20:58;19:03:47;11h 42m 49s
01.10.2021;07:22:19;19:01:47;11h 39m 28s
02.10.2021;07:23:40;18:59:47;11h 36m 7s
03.10.2021;07:25:02;18:57:48;11h 32m 46s
04.10.2021;07:26:24;18:55:50;11h 29m 26s
05.10.2021;07:27:46;18:53:52;11h 26m 6s
06.10.2021;07:29:09;18:51:54;11h 22m 45s
07.10.2021;07:30:31;18:49:57;11h 19m 26s
08.10.2021;07:31:54;18:48:00;11h 16m 6s
09.10.2021;07:33:18;18:46:04;11h 12m 46s
10.10.2021;07:34:41;18:44:09;11h 9m 28s
11.10.2021;07:36:05;18:42:15;11h 6m 10s
12.10.2021;07:37:30;18:40:21;11h 2m 51s
13.10.2021;07:38:54;18:38:27;10h 59m 33s
14.10.2021;07:40:19;18:36:35;10h 56m 16s
15.10.2021;07:41:44;18:34:43;10h 52m 59s
16.10.2021;07:43:10;18:32:53;10h 49m 43s
17.10.2021;07:44:35;18:31:03;10h 46m 28s
18.10.2021;07:46:01;18:29:14;10h 43m 13s
19.10.2021;07:47:28;18:27:26;10h 39m 58s
20.10.2021;07:48:54;18:25:39;10h 36m 45s
21.10.2021;07:50:21;18:23:53;10h 33m 32s
22.10.2021;07:51:48;18:22:08;10h 30m 20s
23.10.2021;07:53:16;18:20:24;10h 27m 8s
24.10.2021;07:54:43;18:18:42;10h 23m 59s
25.10.2021;07:56:11;18:17:00;10h 20m 49s
26.10.2021;07:57:40;18:15:20;10h 17m 40s
27.10.2021;07:59:08;18:13:41;10h 14m 33s
28.10.2021;08:00:37;18:12:03;10h 11m 26s
29.10.2021;08:02:05;18:10:27;10h 8m 22s
30.10.2021;08:03:34;18:08:52;10h 5m 18s
31.10.2021;07:05:07;17:07:15;10h 2m 8s
01.11.2021;07:06:36;17:05:43;9h 59m 7s
02.11.2021;07:08:05;17:04:13;9h 56m 8s
03.11.2021;07:09:35;17:02:44;9h 53m 9s
04.11.2021;07:11:04;17:01:17;9h 50m 13s
05.11.2021;07:12:33;16:59:51;9h 47m 18s
06.11.2021;07:14:03;16:58:27;9h 44m 24s
07.11.2021;07:15:32;16:57:05;9h 41m 33s
08.11.2021;07:17:01;16:55:45;9h 38m 44s
09.11.2021;07:18:30;16:54:27;9h 35m 57s
10.11.2021;07:19:59;16:53:10;9h 33m 11s
11.11.2021;07:21:27;16:51:55;9h 30m 28s
12.11.2021;07:22:56;16:50:43;9h 27m 47s
13.11.2021;07:24:24;16:49:32;9h 25m 8s
14.11.2021;07:25:51;16:48:23;9h 22m 32s
15.11.2021;07:27:19;16:47:17;9h 19m 58s
16.11.2021;07:28:45;16:46:13;9h 17m 28s
17.11.2021;07:30:11;16:45:10;9h 14m 59s
18.11.2021;07:31:37;16:44:11;9h 12m 34s
19.11.2021;07:33:02;16:43:13;9h 10m 11s
20.11.2021;07:34:26;16:42:18;9h 7m 52s
21.11.2021;07:35:50;16:41:25;9h 5m 35s
22.11.2021;07:37:13;16:40:34;9h 3m 21s
23.11.2021;07:38:34;16:39:46;9h 1m 12s
24.11.2021;07:39:55;16:39:01;8h 59m 6s
25.11.2021;07:41:15;16:38:17;8h 57m 2s
26.11.2021;07:42:34;16:37:37;8h 55m 3s
27.11.2021;07:43:52;16:36:59;8h 53m 7s
28.11.2021;07:45:08;16:36:24;8h 51m 16s
29.11.2021;07:46:23;16:35:51;8h 49m 28s
30.11.2021;07:47:37;16:35:21;8h 47m 44s
01.12.2021;07:48:49;16:34:54;8h 46m 5s
02.12.2021;07:50:00;16:34:30;8h 44m 30s
03.12.2021;07:51:09;16:34:08;8h 42m 59s
04.12.2021;07:52:17;16:33:49;8h 41m 32s
05.12.2021;07:53:23;16:33:33;8h 40m 10s
06.12.2021;07:54:27;16:33:20;8h 38m 53s
07.12.2021;07:55:30;16:33:09;8h 37m 39s
08.12.2021;07:56:30;16:33:02;8h 36m 32s
09.12.2021;07:57:29;16:32:57;8h 35m 28s
10.12.2021;07:58:25;16:32:55;8h 34m 30s
11.12.2021;07:59:19;16:32:56;8h 33m 37s
12.12.2021;08:00:12;16:33:00;8h 32m 48s
13.12.2021;08:01:02;16:33:07;8h 32m 5s
14.12.2021;08:01:49;16:33:17;8h 31m 28s
15.12.2021;08:02:35;16:33:29;8h 30m 54s
16.12.2021;08:03:18;16:33:44;8h 30m 26s
17.12.2021;08:03:58;16:34:03;8h 30m 5s
18.12.2021;08:04:36;16:34:24;8h 29m 48s
19.12.2021;08:05:12;16:34:47;8h 29m 35s
20.12.2021;08:05:45;16:35:14;8h 29m 29s
21.12.2021;08:06:15;16:35:43;8h 29m 28s
22.12.2021;08:06:43;16:36:15;8h 29m 32s
23.12.2021;08:07:08;16:36:50;8h 29m 42s
24.12.2021;08:07:31;16:37:27;8h 29m 56s
25.12.2021;08:07:50;16:38:07;8h 30m 17s
26.12.2021;08:08:07;16:38:49;8h 30m 42s
27.12.2021;08:08:21;16:39:34;8h 31m 13s
28.12.2021;08:08:33;16:40:21;8h 31m 48s
29.12.2021;08:08:41;16:41:11;8h 32m 30s
30.12.2021;08:08:47;16:42:03;8h 33m 16s
31.12.2021;08:08:50;16:42:57;8h 34m 7s
