ValueDate;ID;Name;Name des Smart-Me Zählers;ActivePower;ActivePowerUnit;CounterReadingImport;CounterReadingExport;CounterReading;CounterReadingUnit;Voltage;PowerFactor;Current;DigitalOutput;Prozentuale Produktion;Link;Modultyp;Leistung in kWp;Anzahl Module;Leistung / Modul in Wp;Wechselrichterleistung in kVA;Fläche in m2;Geo Shape;Geo Point
2021-11-06T14:10:00+01:00;4c2a0f35-361f-5c22-7e74-b3728401f3a2;Sturzeneggstrasse 40;PV Sturzeneggstrasse 40;-12.724403;kW;4.6563810000000005;26501.971109000002;-26497.314728;kWh;234.8;1.0;-54.12;1/0;60;noch nicht vorhanden;Suntech STP270S;41.04;152;270;40.0;247;;
2021-11-06T14:09:10+01:00;5002d61c-1a77-1517-263b-00e2971f89a6;PV Dreilindenhang 30;PV Dreilindenhang 30;-0.520976;kW;5.038962000000001;1915.2469310000001;-1910.207969;kWh;230.9;0.957;-2.369;0/0;100;;;;;;;;;
2021-11-06T14:09:15+01:00;ebbaa4a5-bbd8-50cf-8cf0-5e5d17eaf03c;Werkhof St.Galler Stadtwerke;PV Steinachstrasse 47 Spital;-0.062048;kW;0.115064;4513.778409;-4513.663345;kWh;231.3;0.058;-2.483;0/0;100;https://sgsw.solarlog-web.ch/40472.html;Newtec SDZ 34-10;11.664;324;36;11.4;410;"{""type"": ""Polygon"", ""coordinates"": [[[9.3845805632, 47.4308727599], [9.3847350698, 47.4308078864], [9.38467253, 47.4307400029], [9.3845186198, 47.4308058178], [9.3845805632, 47.4308727599]]]}";47.4308065403,9.38462685273
2021-11-06T14:09:12+01:00;ab2d9159-6785-595f-1353-6bf6aed916d9;Werkhof St.Galler Stadtwerke;PV Steinachstrasse 47 OLMA;-0.150616;kW;0.003306;1201.329428;-1201.326122;kWh;231.2;0.318;-1.7930000000000001;0/0;100;https://sgsw.solarlog-web.ch/40472.html;Newtec SDZ 34-10;6.48;180;36;7.6;228;"{""type"": ""Polygon"", ""coordinates"": [[[9.384286311, 47.4309046905], [9.3842189769, 47.4309337734], [9.3842845701, 47.4310007488], [9.3843844987, 47.430956219], [9.3843220613, 47.4308891901], [9.384286311, 47.4309046905]]]}";47.4309449179,9.38430229501
2021-11-06T14:08:55+01:00;616bad51-47cd-52de-ca1e-49fa646072e7;Containerbau Lattich;PV Güterbahnhofstrasse 7;-10.76966;kW;16.18485;26647.014893;-26630.830042999998;kWh;232.7;1.0;-46.378;0/0;100;https://sgsw.solarlog-web.ch/61003.html;diverse Ersatzmodule;41.3;151;;27.6;252;"{""type"": ""Polygon"", ""coordinates"": [[[9.3649396397, 47.4182632914], [9.3644006945, 47.4179776552], [9.364319061, 47.4180485433], [9.3648580628, 47.4183342509], [9.3649396397, 47.4182632914]]]}";47.4181559447,9.36462937969
2021-11-06T14:09:59+01:00;115a4cd6-c5b2-d6a6-14dc-b03078644337;Werkhof St.Galler Stadtwerke;PV Steinachstrasse 49;0.18610300000000002;kW;10.343860000000001;10638.541813;-10628.197952999999;kWh;231.1;0.538;1.983;1/1;0;https://sgsw.solarlog-web.ch/40472.html;Siemens SM110;21.78;198;110;20.0;178;"{""type"": ""Polygon"", ""coordinates"": [[[9.3847196385, 47.431098196], [9.3846213862, 47.4310378531], [9.3845289199, 47.4311078218], [9.3844669981, 47.4311540627], [9.3845912594, 47.4312305238], [9.3845618486, 47.4312536336], [9.3846062514, 47.4312795204], [9.3848480428, 47.4314294293], [9.3849038156, 47.4313889586], [9.3849723382, 47.431337171], [9.3849857052, 47.4313270762], [9.3848101079, 47.4312194256], [9.3848210377, 47.4312112164], [9.3847549468, 47.4311707012], [9.384725059, 47.431152518], [9.3847621055, 47.4311242738], [9.3847220128, 47.4310996496], [9.3847196385, 47.431098196]]]}";47.4312365481,9.38471976238
2021-11-06T14:09:16+01:00;7494694f-133e-f3b4-bd8e-9fe8c9ac40f5;Sturzeneggstrasse 38;PV Sturzeneggstrasse 38;-8.531588;kW;8.900789000000001;24233.171612;-24224.270823;kWh;234.8;1.0;-34.863;0/0;100;noch nicht vorhanden;Suntech STP270S;35.64;132;270;36.0;214;;
2021-11-06T14:09:59+01:00;afd1c657-7215-dcc1-0d86-f73369e40689;Future Champs Ostschweiz;PV Kunklerstrasse 1;0.007219000000000001;kW;26.957806;19287.493303;-19260.535497;kWh;232.4;0.7;0.33699999999999997;1/1;0;https://sgsw.solarlog-web.ch/60388.html;Yingli Solar Panda 60 270;39.96;148;270;35.0;250;"{""type"": ""Polygon"", ""coordinates"": [[[9.3047592988, 47.4062807807], [9.3046870321, 47.4061153819], [9.304408301, 47.406170163], [9.3044805606, 47.4063366001], [9.3047592988, 47.4062807807]]]}";47.4062257789,9.30458367365
2021-11-06T14:08:56+01:00;4c08aacb-26b5-db27-a259-0868e8b5c00f;Unterwerk St.Gallen-Ost;PV Martinsbruggstrasse 84 UW Ost;-10.692219;kW;34.973998;35301.98394;-35267.009942;kWh;231.4;1.0;-46.18;0/0;100;https://sgsw.solarlog-web.ch/62733.html;Longi Solar LR4-60 HIH;54.76;148;370;50.0;250;"{""type"": ""Polygon"", ""coordinates"": [[[9.4208725923, 47.4394914642], [9.4208010289, 47.4395521122], [9.420973951, 47.4396507169], [9.4210401559, 47.4396875393], [9.4211696714, 47.4397595757], [9.421247585, 47.4396963378], [9.4208746629, 47.439489746], [9.4208725923, 47.4394914642]]]}";47.4396251238,9.42102396426
2021-11-06T14:10:00+01:00;f1bd39a3-7324-8f4b-bd05-00ba6719ca6f;Kirche Halden;PV Oberhaldenstrasse 25 Kirche Halden;-24.511544;kW;0.9623189999999999;25144.641238;-25143.678919;kWh;232.1;0.999;-105.826;1/0;60;https://sgsw.solarlog-web.ch/40199.html;Sunpower 220G;46.4;211;220;45.3;263;"{""type"": ""Polygon"", ""coordinates"": [[[9.4133954048, 47.435412392], [9.4133898766, 47.435269489], [9.4133751146, 47.4352697594], [9.4133397883, 47.4352704169], [9.4133398889, 47.4352731142], [9.4133326009, 47.4352732479], [9.4133320368, 47.4352587721], [9.4132982475, 47.4352593943], [9.4132988117, 47.4352738701], [9.4132913907, 47.4352740056], [9.413291291, 47.4352713083], [9.413054239, 47.4352758164], [9.4130566861, 47.4353338947], [9.413030449, 47.435334379], [9.4130315808, 47.4353609547], [9.413057817, 47.4353604437], [9.413060167, 47.4354159145], [9.4130602596, 47.4354180722], [9.4130602802, 47.4354186112], [9.4130633138, 47.4354185504], [9.4133566461, 47.4354131078], [9.4133954048, 47.435412392]]]}";47.4353435103,9.41322305753
2021-11-06T14:09:59+01:00;dad2e13e-76f6-87b8-2bef-c61fb75313a8;Sonnmattstrasse 23;PV Sonnmattstrasse 23;-0.064738;kW;6.300486;14451.745163000001;-14445.444677000001;kWh;231.5;0.369;-0.729;1/0;60;https://sgsw.solarlog-web.ch/63795.html;SunTech HyPro STP 325S;33.475;103;325;30.0;174;"{""type"": ""Polygon"", ""coordinates"": [[[9.3145541559, 47.4070756157], [9.3145509193, 47.4069811127], [9.3145318471, 47.4069814131], [9.3145311914, 47.4069624226], [9.3145502635, 47.4069621223], [9.3145468562, 47.4068627638], [9.3144432894, 47.4068646698], [9.3144443782, 47.406895934], [9.3143620143, 47.4068974606], [9.3143670575, 47.4070447177], [9.3143671374, 47.4070469927], [9.3143838245, 47.4070466856], [9.3143847812, 47.4070746053], [9.3143849268, 47.4070787413], [9.3145541559, 47.4070756157]]]}";47.406975942,9.31446183282
2021-11-06T14:09:59+01:00;afd04963-3437-18ab-1bbb-faf0150987c8;Sturzeneggstrasse 36;PV Sturzeneggstrasse 36;-8.819992000000001;kW;8.257075;22930.926326;-22922.669251;kWh;234.1;1.0;-37.524;1/1;0;noch nicht vorhanden;Suntech STP270S;36.18;134;270;36.0;218;;
2021-11-06T14:10:00+01:00;0893eba1-a265-c0cd-39f2-3f681927d7a2;Primarschule St.Leonhard;PV Vadianstrasse 49;-7.534893;kW;0.24091900000000002;24052.369248;-24052.128329;kWh;233.0;0.999;-32.358000000000004;0/1;30;noch nicht vorhanden;Suntech STP275S;43.2;160;275;40.0;260;;
2021-11-06T14:09:02+01:00;e209be02-6fdf-23d1-0fb6-366cbecf83ed;Primarschule Schönenwegen;PV Zürcher Strasse 67 Schönenwegen;-11.138727;kW;0.01728;22726.457723;-22726.440443;kWh;231.6;1.0;-48.135;0/0;100;https://sgsw.solarlog-web.ch/40468.html;"Atersa A-230P;Ja Solar Poly JAP6 60-260";31.72;131;"230;260";26.8;214;"{""type"": ""Polygon"", ""coordinates"": [[[9.3495038513, 47.4169292572], [9.3495361521, 47.4169436128], [9.3501492585, 47.4172181396], [9.3502372009, 47.4171271761], [9.349602065, 47.4168427032], [9.3495038513, 47.4169292572]]]}";47.417029401,9.34987295013
